FERRY OCEANAIR SHIPPING SERVICES L.L.C,,,,,,فيري اوشنير لخدمات الشحن ش.ذ.م.م,,
,,,,,,,,
Tel: +971503941062,,,,,,,الرقم: ٠٠٩٧١٥٠٣٩٤١٠٦٢,
Dubai Al aweer,,,,,,,,دبي العوير
,,,,,,,,
,,,,,,,,MRSU6117095
"Customer
",,,,,,,Invoice. #,1
"NOME:
MARQUE: MHS",,,,,,,Date,12/6/2023
Phone : ,,,,,,,Manifest #,20
,,,,,,,Currency,AED
,,,,,,,Page,Page 1 of 1
S#,Item Description,Pkg,Length ,Width ,Height ,CBM,Rate,AED
1,,10,45,45,45,,650,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Total Packages,10,,,Total CBM,,,
,,,,,,,,
يرجى من زبنائنا الكرام من من سيدفع بالأوقية الدفع عن طريق بنكيلي,,,,,,,,
,46616218,,,,,,,
,,,,,,,,
,,,,,,,Grand Total,0
